Quantity,Price,DiscountApplied(%),TotalAmount,Day,Month,Year,Hour,PaymentCash,PaymentCredit,PaymentDebit,PaymentPayPal,ProductCategory_Books,ProductCategory_Clothing,ProductCategory_Electronics,ProductCategory_HomeDecor
7,21.31634724,3.594113899,143.8514941,25,9,2023,8,0,0,1,0,0,0,0,1
5,61.43280267,6.323547799,287.7403501,4,6,2023,0,0,0,1,0,1,0,0,0
9,49.3833028,17.0641798,368.608025,3,10,2023,13,1,0,0,0,0,1,0,0
7,85.31977157,13.2077957,518.3563731,16,12,2023,23,0,1,0,0,1,0,0,0
2,48.06615492,16.51721833,80.25392634,20,6,2023,16,0,1,0,0,0,0,1,0
4,98.70968076,13.84911501,340.1570542,23,12,2023,10,0,0,0,1,1,0,0,0
9,80.18639604,4.456275585,689.5176233,20,4,2024,11,0,1,0,0,0,0,1,0
2,53.87055008,12.07332915,94.73316251,15,1,2024,19,0,0,1,0,1,0,0,0
9,59.69753447,18.77811951,436.3871409,9,7,2023,5,0,0,1,0,1,0,0,0
5,88.00755476,13.07468591,382.504217,28,5,2023,7,0,0,1,0,0,0,1,0
2,79.67386347,12.91378242,138.7699082,25,5,2023,10,1,0,0,0,0,1,0,0
4,69.19620564,16.51074194,231.0855948,8,10,2023,19,0,0,1,0,0,0,1,0
7,34.01289338,14.11085151,204.4936915,13,12,2023,3,0,0,0,1,0,1,0,0
8,46.93122876,16.11718005,314.9379049,24,10,2023,3,1,0,0,0,0,0,0,1
3,80.84663037,5.868724608,228.3058928,25,3,2024,14,0,1,0,0,0,0,1,0
1,66.47187502,10.5145845,59.48263356,19,12,2023,21,0,0,0,1,0,0,1,0
4,96.08493944,17.4431825,317.2986724,27,12,2023,5,0,0,0,1,0,1,0,0
2,88.55958357,12.84060049,154.3760025,12,8,2023,2,0,1,0,0,0,0,0,1
8,48.43840968,6.596179738,361.9466009,6,1,2024,3,1,0,0,0,0,1,0,0
4,36.44356796,5.640954187,137.5512119,16,6,2023,14,1,0,0,0,1,0,0,0
2,21.16617709,15.30872409,35.85181088,26,6,2023,9,0,0,0,1,0,0,0,1
6,46.6865179,13.83077927,241.376452,8,5,2023,0,1,0,0,0,0,0,0,1
6,30.40141062,9.811217151,164.5119732,29,3,2024,18,1,0,0,0,0,0,1,0
4,11.50353148,3.970779906,44.18700627,27,11,2023,10,0,1,0,0,1,0,0,0
6,22.43927871,5.872273942,126.7294968,26,4,2024,13,0,0,0,1,0,0,1,0
2,50.77103606,17.63195806,83.63821655,1,10,2023,9,0,1,0,0,0,1,0,0
2,90.31749132,6.837288023,168.2844486,20,5,2023,13,0,0,0,1,0,1,0,0
4,38.88635212,10.30417712,139.5177341,19,5,2023,19,1,0,0,0,0,1,0,0
8,49.70081448,6.426451838,372.0545246,24,8,2023,3,1,0,0,0,0,1,0,0
7,44.56655375,15.72327504,262.9146235,15,3,2024,13,0,0,0,1,0,0,1,0
9,43.20773421,3.940537885,373.5460537,16,4,2024,5,0,0,1,0,0,0,0,1
8,75.03749694,16.61582338,500.5551919,7,9,2023,17,0,0,0,1,0,0,0,1
5,55.54281545,9.025839192,252.6480512,31,3,2024,20,0,0,1,0,0,0,1,0
2,46.75985559,8.785967794,85.30309947,24,10,2023,21,0,1,0,0,1,0,0,0
5,94.89902096,18.44927581,386.9541942,24,4,2024,17,1,0,0,0,1,0,0,0
8,34.86587311,4.863213028,265.3621714,1,7,2023,22,0,1,0,0,0,0,1,0
9,84.95648436,15.53718329,645.809757,6,10,2023,8,0,1,0,0,0,0,0,1
9,56.35052523,19.3004819,409.2714208,24,12,2023,22,1,0,0,0,0,0,1,0
1,49.7519958,19.15562133,40.22169188,25,2,2024,8,0,0,1,0,1,0,0,0
9,15.66692134,14.96717317,119.8982348,22,11,2023,2,0,0,0,1,0,0,1,0
7,87.26431386,5.36747935,578.0629389,2,3,2024,22,0,0,1,0,1,0,0,0
9,34.35962323,17.90654433,253.8630186,2,1,2024,16,1,0,0,0,0,0,1,0
8,71.14204196,8.220374972,522.3511948,29,9,2023,10,1,0,0,0,0,0,1,0
1,88.70304269,7.700165198,81.87276186,3,3,2024,22,0,1,0,0,0,1,0,0
8,58.25233549,7.809105877,429.6267915,7,11,2023,10,0,0,1,0,0,1,0,0
8,67.66009434,1.213184505,534.7140205,15,11,2023,0,0,0,1,0,0,0,0,1
3,40.61638711,7.121015695,113.1722634,1,12,2023,17,0,0,0,1,0,0,1,0
1,75.38851452,18.43627657,61.48967949,8,6,2023,19,0,0,0,1,1,0,0,0
8,69.09431329,5.371900825,523.0610825,8,12,2023,4,0,0,1,0,0,0,0,1
3,50.03074725,6.031257077,141.0397928,23,3,2024,11,0,0,0,1,0,0,1,0
3,67.11419404,15.50945109,170.1154528,16,4,2024,4,0,1,0,0,1,0,0,0
1,33.63936661,1.244171467,33.22083521,31,5,2023,7,0,0,1,0,0,0,0,1
5,69.2038385,16.49585071,288.9403831,19,5,2023,2,1,0,0,0,1,0,0,0
7,70.54673544,17.13967728,409.1867686,28,12,2023,11,0,1,0,0,0,0,1,0
9,50.03989495,2.865302125,437.454907,11,1,2024,14,0,1,0,0,1,0,0,0
7,32.44361216,4.70639588,216.4168113,1,3,2024,18,0,0,1,0,1,0,0,0
9,82.27593684,14.37946628,634.0058662,14,6,2023,22,0,1,0,0,0,0,0,1
8,77.87144604,9.412914394,564.3317879,11,3,2024,9,0,0,1,0,0,1,0,0
2,15.13826686,6.271852121,28.37763431,22,1,2024,1,0,1,0,0,0,0,1,0
1,54.48413965,7.935460701,50.16057216,2,7,2023,6,0,1,0,0,1,0,0,0
7,18.28998616,15.52832487,108.1490038,18,10,2023,18,0,0,0,1,0,0,0,1
7,38.76064825,2.444920689,264.690868,30,7,2023,12,0,0,0,1,0,1,0,0
8,48.00152337,15.65384587,323.8995111,2,11,2023,17,0,0,1,0,1,0,0,0
5,25.91976008,5.391257854,122.6117949,10,8,2023,2,1,0,0,0,0,0,1,0
3,52.20121515,15.40578351,132.4776269,20,12,2023,7,0,0,1,0,0,0,0,1
8,73.55990778,19.08665624,476.1582484,14,2,2024,12,0,0,1,0,0,1,0,0
6,49.32689403,18.67648085,240.6861967,2,4,2024,6,0,0,0,1,1,0,0,0
3,31.07258121,19.7587519,74.79908093,7,6,2023,7,0,0,1,0,0,0,1,0
1,47.33364372,4.362300725,45.26880784,20,3,2024,2,0,0,1,0,1,0,0,0
3,63.31661184,19.41658202,153.0680699,29,12,2023,6,0,1,0,0,0,0,1,0
5,94.27530854,3.902613929,452.9805361,19,6,2023,3,1,0,0,0,0,0,1,0
3,54.95003129,0.980459509,163.2338054,6,9,2023,17,0,1,0,0,0,1,0,0
1,89.90766963,3.435628997,86.81877567,20,6,2023,3,0,0,1,0,0,1,0,0
5,98.61003733,0.433074844,490.9149103,22,1,2024,7,0,0,0,1,0,0,1,0
7,60.3116587,0.110103223,421.7167753,31,1,2024,12,1,0,0,0,0,0,1,0
7,23.23620157,12.08886147,142.9904655,18,8,2023,14,0,0,0,1,1,0,0,0
9,88.77816489,0.888264045,791.9062233,8,5,2023,0,0,1,0,0,0,0,1,0
3,87.61206739,5.854469012,247.4485382,24,5,2023,3,1,0,0,0,0,0,1,0
7,88.17045193,9.014604013,561.5556438,29,7,2023,21,1,0,0,0,1,0,0,0
1,95.54941634,4.447918859,91.29945583,12,6,2023,9,0,0,0,1,0,0,1,0
4,34.87919125,19.06080968,112.9237399,5,2,2024,18,0,0,1,0,0,0,0,1
4,40.00875001,6.147555635,150.1967594,21,9,2023,5,0,1,0,0,1,0,0,0
5,71.83872922,0.462871045,357.5310427,26,8,2023,13,0,0,1,0,0,0,0,1
7,60.7513013,8.037027267,391.0809185,25,4,2024,20,0,0,0,1,0,1,0,0
7,88.15321933,2.265975151,603.089825,3,2,2024,6,0,0,1,0,0,0,0,1
4,32.90556652,17.0030783,109.2424291,26,10,2023,16,0,0,1,0,0,1,0,0
7,69.25684863,10.70596275,432.8956535,9,11,2023,10,0,1,0,0,0,0,1,0
3,94.63688687,1.830624263,278.7133232,1,7,2023,12,0,0,0,1,1,0,0,0
6,29.42846622,7.311670811,163.6605219,4,7,2023,6,0,0,0,1,0,1,0,0
2,37.61916743,7.448973926,69.63385092,19,5,2023,14,0,1,0,0,0,1,0,0
9,46.66759982,15.36549112,355.4720453,13,11,2023,22,0,1,0,0,0,0,0,1
5,17.8385125,19.4253636,71.86658291,23,2,2024,17,1,0,0,0,1,0,0,0
6,25.91827387,6.190253151,145.8832026,8,7,2023,4,0,0,0,1,0,0,0,1
4,44.38842668,4.343152928,169.8422777,11,3,2024,10,0,1,0,0,0,0,1,0
7,16.69540414,14.88628199,99.4705544,10,6,2023,10,1,0,0,0,0,0,0,1
9,42.63801915,10.24981199,344.4093212,4,5,2023,8,0,0,0,1,0,0,1,0
7,31.97276084,14.73131551,190.8392679,16,10,2023,18,0,0,1,0,1,0,0,0
1,87.80595497,1.069206714,86.86712781,22,6,2023,2,0,0,0,1,0,0,0,1
1,64.76441874,19.9400979,51.85033024,1,2,2024,4,1,0,0,0,0,0,0,1
9,90.86410263,9.685291703,738.5728431,8,4,2024,6,0,0,1,0,1,0,0,0
9,28.25982796,16.69877986,211.8670335,5,12,2023,4,0,0,0,1,0,0,1,0
4,17.34917877,3.582091919,66.91086094,26,8,2023,13,1,0,0,0,0,1,0,0
9,41.86424795,3.135656986,364.9637586,11,5,2023,10,0,0,1,0,0,1,0,0
3,15.07826861,7.175804257,41.9888447,31,5,2023,16,0,0,0,1,0,0,0,1
7,89.51626496,4.85644891,596.182673,7,7,2023,16,0,0,0,1,1,0,0,0
6,26.93368276,3.244001859,156.3597216,14,2,2024,23,0,0,0,1,0,0,1,0
8,22.69652511,1.904333216,178.1144611,19,3,2024,11,0,0,0,1,0,0,0,1
9,80.90037402,2.095020551,712.8494511,25,2,2024,13,0,0,1,0,0,0,0,1
5,74.11664449,3.302831309,358.3434838,21,11,2023,7,0,0,1,0,0,0,1,0
1,15.12604253,2.023900944,14.81990641,15,1,2024,17,1,0,0,0,1,0,0,0
3,55.86087198,11.0954571,148.9885587,1,12,2023,0,0,0,0,1,0,0,0,1
8,50.39649003,16.96378135,334.7787172,1,8,2023,17,0,0,1,0,1,0,0,0
6,44.8171824,17.09178318,222.9427605,24,1,2024,23,0,0,1,0,0,1,0,0
8,21.40301423,18.96759544,138.7470166,8,5,2023,21,1,0,0,0,0,0,1,0
9,80.86168186,8.312041384,667.2638286,1,2,2024,23,1,0,0,0,0,1,0,0
4,31.59602153,16.37203738,105.6924363,30,12,2023,9,0,0,1,0,0,0,1,0
1,51.24117781,14.22218199,43.95356425,16,5,2023,16,0,1,0,0,0,0,0,1
1,89.29578752,18.37811716,72.88490307,17,12,2023,11,0,0,1,0,0,1,0,0
4,38.64182086,12.22981448,135.6639914,22,4,2024,20,0,1,0,0,0,1,0,0
7,13.21589879,3.891313774,88.91138691,7,3,2024,5,0,0,1,0,1,0,0,0
2,90.02191983,16.26285021,150.7635797,30,8,2023,4,1,0,0,0,1,0,0,0
3,54.45015887,3.863419042,157.0395632,6,6,2023,11,0,1,0,0,0,0,1,0
1,54.73566233,8.686718668,49.98092933,9,12,2023,12,0,0,1,0,0,0,0,1
5,59.62741773,14.21054906,255.7701714,4,12,2023,15,0,0,1,0,1,0,0,0
1,26.19405865,17.69561007,21.55886017,9,9,2023,0,0,1,0,0,0,0,1,0
8,74.33975096,5.661595281,561.047481,21,6,2023,16,0,1,0,0,0,1,0,0
1,30.82432032,3.030331887,29.89024111,12,8,2023,4,0,0,0,1,0,0,0,1
1,37.10333556,12.30596026,32.53741383,13,12,2023,12,0,1,0,0,1,0,0,0
2,66.80700831,7.796451484,123.1968646,21,5,2023,1,0,0,0,1,0,0,0,1
2,77.47805803,12.90030588,134.9663031,5,8,2023,22,1,0,0,0,1,0,0,0
6,75.75551913,16.91507631,377.6484916,4,1,2024,14,0,0,0,1,0,1,0,0
7,17.48344175,9.863590182,110.3126269,29,11,2023,4,1,0,0,0,0,0,1,0
5,77.911939,1.616726685,383.2615795,2,5,2023,14,0,0,0,1,0,0,1,0
1,69.64528917,18.64104368,56.66268039,29,2,2024,3,1,0,0,0,0,0,1,0
1,64.45863786,5.865678005,60.67770172,24,9,2023,1,0,1,0,0,0,1,0,0
3,97.01868272,19.43676051,234.4841811,27,9,2023,19,0,0,1,0,0,0,1,0
2,41.2143105,16.84075858,68.54701594,7,4,2024,17,1,0,0,0,1,0,0,0
5,71.47775954,6.461854636,334.2948531,14,5,2023,21,1,0,0,0,0,0,0,1
6,61.59105202,8.409567919,338.469064,4,7,2023,23,1,0,0,0,0,0,0,1
7,44.91639388,1.527390592,309.6124157,25,3,2024,3,0,0,1,0,1,0,0,0
4,80.9415652,15.66106217,273.0610254,2,4,2024,3,0,0,0,1,1,0,0,0
7,46.2832959,6.220360362,303.8301567,8,3,2024,12,0,1,0,0,0,0,1,0
8,60.27001303,3.409486253,465.7209218,15,1,2024,4,0,1,0,0,0,0,1,0
1,60.45645023,16.25173685,50.63122703,14,1,2024,0,0,0,1,0,1,0,0,0
6,56.01948781,16.89058253,279.3448199,19,12,2023,23,0,0,0,1,0,0,0,1
8,51.16619973,7.345053301,379.2641207,17,2,2024,21,0,0,1,0,1,0,0,0
5,25.10012015,5.137626912,119.0528481,12,9,2023,3,0,0,0,1,0,1,0,0
4,31.67611866,13.14385457,110.0506228,24,5,2023,4,0,0,1,0,1,0,0,0
2,21.11526402,5.863023355,39.75454231,1,12,2023,8,0,1,0,0,1,0,0,0
6,75.11420555,10.17715166,404.8183136,9,10,2023,19,1,0,0,0,0,0,0,1
6,76.98651829,12.84973774,402.5637156,7,7,2023,15,0,1,0,0,0,0,1,0
1,67.46760751,12.35020318,59.13522091,26,8,2023,16,1,0,0,0,0,0,1,0
9,92.58788273,13.99231235,716.6942728,5,10,2023,16,1,0,0,0,1,0,0,0
6,33.84677181,7.306948304,188.2416342,26,9,2023,5,1,0,0,0,0,0,1,0
3,83.89215147,10.78425766,224.5350171,19,6,2023,9,1,0,0,0,0,0,0,1
4,26.72503098,3.165920033,103.5157515,14,6,2023,14,1,0,0,0,0,1,0,0
4,16.10403928,3.460433204,62.18707901,5,2,2024,19,0,0,0,1,1,0,0,0
3,10.01159423,11.5985811,26.55117405,24,3,2024,18,0,1,0,0,0,0,0,1
3,62.25700278,5.716587123,176.0940809,30,5,2023,21,0,0,0,1,0,1,0,0
3,80.08662747,0.024677125,240.2005932,1,4,2024,3,0,0,1,0,1,0,0,0
4,84.06877407,16.117158,282.0771077,20,8,2023,10,0,1,0,0,1,0,0,0
7,52.35890696,3.151064542,354.9633081,15,12,2023,9,0,0,0,1,0,1,0,0
4,15.28484618,11.09089939,54.35847706,28,7,2023,6,0,0,0,1,0,0,1,0
9,13.2186124,8.86460362,108.4215133,9,9,2023,8,0,0,0,1,0,1,0,0
1,92.56164203,3.726203528,89.11260686,15,4,2024,10,1,0,0,0,0,0,0,1
8,18.36463251,10.29563287,131.7910189,20,8,2023,0,1,0,0,0,0,0,0,1
7,80.61982972,13.8942628,485.9280909,9,1,2024,3,0,0,1,0,0,1,0,0
2,16.26103767,5.757405755,30.6496475,1,2,2024,15,1,0,0,0,1,0,0,0
8,26.50135055,14.63091936,180.9916746,16,7,2023,16,1,0,0,0,1,0,0,0
1,24.65800099,17.12626426,20.43500658,1,12,2023,21,0,0,0,1,1,0,0,0
9,34.9396491,10.66535065,280.918917,16,12,2023,18,0,0,1,0,0,0,1,0
9,46.50669549,1.360101341,412.8674157,1,6,2023,0,1,0,0,0,1,0,0,0
2,21.22533898,0.305080616,42.32116916,4,3,2024,5,1,0,0,0,0,1,0,0
7,97.58429288,4.252478165,654.0417949,16,11,2023,3,0,1,0,0,0,0,0,1
3,10.18029828,19.77123768,24.50258193,14,8,2023,20,0,1,0,0,0,0,1,0
7,79.49066195,11.34549674,493.3043604,23,2,2024,19,0,0,1,0,1,0,0,0
9,57.38572521,13.20918446,448.2498502,24,5,2023,10,0,1,0,0,1,0,0,0
4,17.70188529,13.08423528,61.54291587,24,10,2023,14,0,0,0,1,0,0,1,0
1,20.80286863,7.163218305,19.31271373,5,12,2023,9,0,0,1,0,1,0,0,0
2,63.09993008,2.705989583,122.7849051,8,4,2024,18,0,0,0,1,0,1,0,0
1,38.37280519,13.00777223,33.3813581,10,3,2024,13,0,0,1,0,1,0,0,0
5,50.51704631,17.44533972,208.5208798,27,7,2023,17,0,0,0,1,1,0,0,0
5,59.42701996,10.10329829,267.1146544,12,9,2023,1,0,1,0,0,0,1,0,0
7,61.60133201,10.60834165,385.4651657,4,4,2024,23,0,0,1,0,1,0,0,0
9,62.43495989,15.76442488,473.3320279,29,3,2024,14,0,0,0,1,0,0,0,1
9,16.30455757,14.85867478,124.9372474,2,7,2023,6,0,1,0,0,0,0,0,1
3,76.64306806,11.21637725,204.1394772,14,5,2023,12,0,1,0,0,0,0,0,1
3,36.41537469,0.863774913,108.3024835,21,10,2023,9,0,1,0,0,0,1,0,0
3,20.2987796,11.0081822,54.19275888,6,12,2023,20,0,0,0,1,1,0,0,0
4,19.19808046,9.741210939,69.31181978,31,7,2023,12,0,1,0,0,0,0,0,1
8,31.33140661,2.890523697,243.406119,13,6,2023,11,0,0,0,1,0,1,0,0
6,66.58119223,18.76647633,324.5174913,3,3,2024,21,0,0,0,1,0,0,0,1
8,52.47306596,9.757873116,378.8224861,9,5,2023,1,1,0,0,0,1,0,0,0
1,19.63666987,5.676164826,18.52206012,29,12,2023,7,1,0,0,0,0,0,0,1
8,12.91174087,8.921395676,94.07866701,19,11,2023,2,1,0,0,0,1,0,0,0
4,12.21991183,12.57100046,42.73498662,26,5,2023,7,1,0,0,0,0,1,0,0
1,47.89826349,8.341075167,43.90303333,2,6,2023,19,1,0,0,0,1,0,0,0
8,80.93250355,13.31719899,561.236488,29,8,2023,20,0,1,0,0,0,0,0,1
4,61.62665949,12.80856933,214.9326643,22,4,2024,1,0,0,1,0,0,0,0,1
6,82.87105317,7.844128126,458.2232495,19,9,2023,11,0,1,0,0,0,0,1,0
8,38.7449729,2.545105736,302.070979,21,3,2024,1,0,1,0,0,0,0,1,0
4,22.63069567,5.948704326,85.13785,23,11,2023,10,0,1,0,0,1,0,0,0
3,82.27014462,12.27724091,216.5089223,10,6,2023,1,0,1,0,0,0,0,0,1
9,75.5057553,8.40227604,622.4539799,31,5,2023,17,0,0,0,1,0,0,0,1
3,63.0196522,7.699881614,174.5016408,2,11,2023,13,0,1,0,0,0,0,0,1
9,89.89839678,15.65243009,682.4440177,13,7,2023,7,1,0,0,0,0,0,1,0
2,66.76120952,6.19438602,125.251525,28,2,2024,4,1,0,0,0,0,0,1,0
2,57.32339543,17.4836099,94.60239318,12,1,2024,4,0,0,0,1,0,0,1,0
2,55.20790461,14.28094376,94.6473896,1,4,2024,15,0,0,0,1,1,0,0,0
6,65.56375354,4.190136668,376.899256,5,12,2023,7,0,0,1,0,1,0,0,0
3,56.49627976,7.865162152,156.1582673,11,10,2023,22,0,0,1,0,0,0,0,1
9,34.5431212,0.498128624,309.3394683,18,7,2023,17,1,0,0,0,0,0,1,0
4,95.84852595,10.42265987,343.4342404,18,3,2024,20,1,0,0,0,1,0,0,0
1,96.22554316,17.39096736,79.49099036,23,5,2023,11,0,0,0,1,1,0,0,0
4,25.0161434,5.441543998,94.61951579,16,3,2024,12,0,0,0,1,1,0,0,0
1,57.75353375,0.922215571,57.22092167,26,7,2023,3,1,0,0,0,1,0,0,0
5,81.06542904,11.46826616,358.8431494,16,10,2023,1,0,0,1,0,0,0,1,0
4,14.9298201,2.357756999,58.3112449,13,12,2023,15,0,1,0,0,0,0,0,1
8,21.12064477,10.06954969,151.9511276,21,12,2023,8,0,0,0,1,0,0,1,0
8,59.0403695,6.977066065,439.3686713,22,8,2023,4,0,1,0,0,0,0,1,0
7,12.55054631,2.28790436,85.8438127,14,5,2023,11,0,0,1,0,0,1,0,0
3,84.96925878,11.57986171,225.3898084,28,2,2024,12,0,0,0,1,0,0,0,1
1,88.5849277,4.905710957,84.2392072,10,2,2024,12,0,0,1,0,0,0,0,1
1,76.26794927,15.97466011,64.0844036,16,12,2023,4,0,0,1,0,1,0,0,0
3,84.01245835,0.48887904,250.8052171,23,12,2023,13,1,0,0,0,0,0,0,1
6,70.45414987,7.791760023,389.7871895,13,4,2024,23,0,1,0,0,0,0,0,1
7,22.76800116,6.843799709,148.4686333,9,1,2024,19,0,1,0,0,0,1,0,0
6,12.68690731,12.65040214,66.49177511,22,8,2023,21,1,0,0,0,0,1,0,0
6,86.32759923,1.300670378,511.2285703,29,7,2023,17,0,0,1,0,0,1,0,0
6,73.64447357,8.359967027,404.9269192,2,1,2024,18,0,0,1,0,0,0,1,0
3,45.86153367,9.873193257,124.0006075,11,5,2023,7,0,0,0,1,0,0,0,1
6,81.71533694,14.52544089,419.0749438,22,9,2023,6,0,1,0,0,1,0,0,0
8,14.79519959,7.430131794,109.5671741,7,12,2023,0,0,0,1,0,0,0,0,1
2,38.71771886,3.772922175,74.51385892,18,11,2023,9,0,1,0,0,1,0,0,0
5,40.76647825,12.36321592,178.6321526,31,10,2023,20,0,0,0,1,0,0,1,0
1,19.4387614,16.31538868,16.26725192,4,3,2024,12,0,0,0,1,0,0,0,1
1,76.75269149,5.308225348,72.67848566,30,8,2023,12,1,0,0,0,0,0,1,0
5,79.97742021,3.600990062,385.4872063,12,8,2023,4,0,0,1,0,0,0,1,0
3,62.4853433,6.643801092,175.0018241,4,3,2024,21,0,0,1,0,0,0,0,1
4,47.60719696,12.34694805,166.9166443,7,2,2024,0,1,0,0,0,0,0,0,1
3,64.6347207,2.066828216,189.8964962,1,7,2023,14,1,0,0,0,0,0,1,0
1,90.85442201,16.64368875,75.7328948,17,9,2023,11,1,0,0,0,1,0,0,0
1,42.19768111,11.80625771,37.21571413,27,8,2023,0,0,0,1,0,0,0,0,1
5,40.08224626,18.70554248,162.9232233,4,5,2023,2,1,0,0,0,0,0,0,1
6,66.04556861,12.79419488,345.5734191,12,2,2024,16,0,0,0,1,1,0,0,0
3,71.5274368,2.979097639,208.1896939,13,10,2023,15,1,0,0,0,0,0,1,0
9,51.19738926,6.265948833,431.9044834,14,10,2023,7,0,0,1,0,1,0,0,0
5,87.36079116,7.950738073,402.0748174,6,5,2023,10,0,1,0,0,1,0,0,0
8,41.70594997,2.597474043,324.98119,11,2,2024,18,0,0,1,0,0,0,0,1
1,67.68255405,3.902409214,65.04130382,4,7,2023,18,1,0,0,0,1,0,0,0
5,70.10162803,7.649603176,323.6956583,13,11,2023,6,1,0,0,0,1,0,0,0
3,36.53376378,13.26205485,95.06590797,31,10,2023,4,1,0,0,0,0,0,0,1
1,11.69662643,8.555662721,10.69590252,29,1,2024,3,1,0,0,0,0,0,0,1
4,84.39510308,8.139836193,310.1019198,9,3,2024,6,0,0,0,1,0,1,0,0
5,53.41763349,2.178605095,261.269371,8,3,2024,17,0,0,1,0,0,1,0,0
7,18.59095783,9.763646213,117.4306174,31,8,2023,16,0,0,1,0,0,1,0,0
1,96.18037255,8.553557654,87.95352893,7,4,2024,20,1,0,0,0,1,0,0,0
3,36.67843089,3.688704667,105.9764157,24,9,2023,18,0,1,0,0,1,0,0,0
2,52.70205365,19.93981136,84.38672714,16,6,2023,8,0,0,1,0,0,1,0,0
9,53.56602427,7.086363955,447.9312675,16,1,2024,3,0,1,0,0,0,0,1,0
6,43.37199746,17.08818288,215.7630673,5,7,2023,4,0,1,0,0,1,0,0,0
3,23.64244065,18.06540778,58.11401201,19,1,2024,10,0,0,0,1,0,1,0,0
8,73.38623648,16.62283867,489.4988863,20,11,2023,14,1,0,0,0,1,0,0,0
8,27.59375726,5.734294618,208.0915993,28,4,2024,11,0,0,1,0,0,0,1,0
2,71.40930943,5.987991613,134.266652,28,3,2024,17,0,0,1,0,0,0,1,0
6,82.18971796,16.92529221,409.6732082,1,8,2023,9,0,0,1,0,0,0,0,1
7,12.08188895,13.24572727,73.37088422,25,7,2023,13,1,0,0,0,1,0,0,0
2,75.86061776,9.741656457,136.941074,6,8,2023,15,1,0,0,0,0,0,1,0
2,67.42298511,10.22370311,121.0597186,21,8,2023,17,1,0,0,0,0,1,0,0
1,27.61959148,10.22385177,24.79580538,15,9,2023,19,0,0,0,1,0,0,0,1
8,65.81738229,1.394822333,519.1947739,2,4,2024,10,0,1,0,0,1,0,0,0
1,47.86944763,14.43713233,40.95847213,29,12,2023,18,0,0,1,0,0,0,1,0
9,17.61327679,13.06162356,137.8142719,2,6,2023,13,1,0,0,0,1,0,0,0
6,57.13193947,6.002344008,322.2161036,16,11,2023,17,0,0,0,1,0,0,0,1
7,97.59568989,2.70379818,664.6982958,1,1,2024,0,0,0,0,1,0,0,1,0
